Player_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,PLUS_MINUS
1630171,"MAY 13, 2025",CLE vs. IND,L,16,1,2,0.5,0,0,0.0,0,0,0.0,0,0,0,0,1,0,1,1,2,2
1629731,"MAY 13, 2025",CLE vs. IND,L,19,2,3,0.667,0,1,0.0,0,0,0.0,2,4,6,0,0,0,1,4,4,-11
1628386,"MAY 13, 2025",CLE vs. IND,L,30,4,6,0.667,0,0,0.0,1,2,0.5,1,3,4,0,1,0,2,1,9,-3
1642281,"MAY 11, 2025",CLE @ IND,L,12,2,6,0.333,2,3,0.667,5,6,0.833,2,0,2,3,1,0,2,2,11,12
1629643,"MAY 11, 2025",CLE @ IND,L,5,1,1,1.0,1,1,1.0,0,0,0.0,0,0,0,1,0,0,0,0,3,9
202684,"MAY 11, 2025",CLE @ IND,L,12,1,2,0.5,0,0,0.0,1,2,0.5,0,6,6,0,0,1,1,1,3,12
1629631,"MAY 13, 2025",CLE vs. IND,L,30,5,12,0.417,2,4,0.5,0,1,0.0,2,3,5,1,1,0,0,4,12,4
1629636,"MAY 13, 2025",CLE vs. IND,L,33,4,16,0.25,0,6,0.0,3,4,0.75,0,4,4,3,0,0,5,4,11,-18
1641854,"MAY 11, 2025",CLE @ IND,L,10,2,4,0.5,0,1,0.0,0,0,0.0,1,1,2,4,1,0,0,0,4,14
1629750,"MAY 11, 2025",CLE @ IND,L,7,0,1,0.0,0,0,0.0,2,2,1.0,0,2,2,0,0,0,0,1,2,3
1630241,"MAY 11, 2025",CLE @ IND,L,14,0,2,0.0,0,2,0.0,2,2,1.0,1,2,3,1,0,0,0,4,2,-10
1630596,"MAY 13, 2025",CLE vs. IND,L,37,8,12,0.667,1,2,0.5,7,9,0.778,5,6,11,1,0,2,0,0,24,-14
1629660,"MAY 13, 2025",CLE vs. IND,L,11,3,5,0.6,2,3,0.667,0,0,0.0,0,0,0,2,1,0,0,3,8,1
1629622,"MAY 13, 2025",CLE vs. IND,L,26,0,9,0.0,0,6,0.0,0,0,0.0,3,4,7,2,0,0,0,4,0,-3
1629130,"APR 28, 2025",MIA vs. CLE,L,15,0,5,0.0,0,5,0.0,0,1,0.0,0,1,1,0,0,0,3,0,0,-8
1630558,"APR 28, 2025",MIA vs. CLE,L,35,3,9,0.333,1,5,0.2,1,2,0.5,0,0,0,5,0,0,3,1,8,-37
1629312,"APR 28, 2025",MIA vs. CLE,L,11,1,4,0.25,0,3,0.0,0,0,0.0,1,3,4,0,1,1,2,1,2,-30
203952,"APR 28, 2025",MIA vs. CLE,L,22,5,12,0.417,2,6,0.333,0,0,0.0,3,2,5,1,0,0,3,1,12,-27
203937,"APR 28, 2025",MIA vs. CLE,L,8,0,1,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,1,1,0,-20
202692,"APR 20, 2025",MIA @ CLE,L,15,2,3,0.667,2,3,0.667,0,0,0.0,0,2,2,2,0,0,0,0,6,-1
1642352,"APR 28, 2025",MIA vs. CLE,L,7,1,1,1.0,0,0,0.0,0,0,0.0,1,0,1,0,0,0,1,1,2,-1
1629639,"APR 28, 2025",MIA vs. CLE,L,31,1,10,0.1,1,9,0.111,1,2,0.5,0,1,1,1,0,0,1,3,4,-44
1628389,"APR 28, 2025",MIA vs. CLE,L,32,6,13,0.462,1,4,0.25,0,1,0.0,3,9,12,4,1,0,3,3,13,-33
1631170,"APR 28, 2025",MIA vs. CLE,L,13,1,5,0.2,0,1,0.0,2,2,1.0,3,1,4,1,0,0,0,1,4,-10
1641796,"APR 28, 2025",MIA vs. CLE,L,23,5,8,0.625,1,3,0.333,1,3,0.333,1,4,5,3,0,0,0,5,12,-18
1642276,"APR 28, 2025",MIA vs. CLE,L,15,1,6,0.167,0,4,0.0,0,0,0.0,1,6,7,0,0,0,0,0,2,-19
1631107,"APR 28, 2025",MIA vs. CLE,L,29,8,15,0.533,4,9,0.444,4,4,1.0,2,3,5,2,2,1,2,1,24,-28
1629674,"MAY 16, 2025",BOS @ NYK,L,4,1,2,0.5,0,0,0.0,0,0,0.0,1,0,1,0,1,0,0,1,2,-4
1631248,"MAY 16, 2025",BOS @ NYK,L,14,2,6,0.333,1,3,0.333,0,0,0.0,1,1,2,0,0,0,1,0,5,3
201143,"MAY 16, 2025",BOS @ NYK,L,27,4,7,0.571,2,4,0.5,0,0,0.0,1,1,2,0,0,0,1,2,10,-33
1628436,"MAY 16, 2025",BOS @ NYK,L,21,2,3,0.667,0,0,0.0,1,1,1.0,2,3,5,1,0,1,2,2,5,-16
1630573,"MAY 16, 2025",BOS @ NYK,L,15,2,6,0.333,1,5,0.2,1,1,1.0,0,3,3,0,0,0,0,2,6,3
1641775,"MAY 16, 2025",BOS @ NYK,L,6,0,0,0.0,0,0,0.0,0,0,0.0,0,1,1,0,0,0,0,0,0,-4
1630214,"MAY 16, 2025",BOS @ NYK,L,8,1,4,0.25,0,2,0.0,0,0,0.0,1,2,3,0,0,0,0,0,2,-2
1631120,"MAY 16, 2025",BOS @ NYK,L,6,0,3,0.0,0,0,0.0,1,2,0.5,0,0,0,0,0,0,1,0,1,-4
1628470,"MAY 16, 2025",BOS @ NYK,L,9,1,2,0.5,1,1,1.0,0,0,0.0,1,0,1,3,0,0,0,1,3,7
1630202,"MAY 16, 2025",BOS @ NYK,L,28,5,10,0.5,1,4,0.25,0,0,0.0,0,2,2,4,0,0,0,2,11,-17
1628401,"MAY 16, 2025",BOS @ NYK,L,30,3,11,0.273,2,8,0.25,0,0,0.0,0,1,1,2,1,0,1,2,8,-45
204001,"MAY 16, 2025",BOS @ NYK,L,11,1,4,0.25,1,2,0.5,1,2,0.5,1,4,5,0,0,1,0,2,4,-14
1627759,"MAY 16, 2025",BOS @ NYK,L,32,8,20,0.4,3,9,0.333,1,2,0.5,0,6,6,6,1,1,7,6,20,-30
201950,"MAY 16, 2025",BOS @ NYK,L,30,1,8,0.125,0,2,0.0,2,2,1.0,1,3,4,3,1,0,2,2,4,-34
1628369,"MAY 12, 2025",BOS @ NYK,L,40,16,28,0.571,7,16,0.438,3,3,1.0,0,8,8,4,4,2,4,3,42,-9
1629048,"APR 29, 2025",ORL @ BOS,L,2,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,2,0,-7
1628976,"APR 29, 2025",ORL @ BOS,L,34,5,10,0.5,0,4,0.0,2,4,0.5,5,5,10,1,2,0,0,1,12,-26
1641783,"APR 29, 2025",ORL @ BOS,L,4,0,1,0.0,0,1,0.0,0,0,0.0,0,3,3,1,0,0,1,0,0,1
1630532,"APR 29, 2025",ORL @ BOS,L,40,10,22,0.455,0,4,0.0,5,5,1.0,1,3,4,4,1,0,0,5,25,-23
203914,"APR 29, 2025",ORL @ BOS,L,15,1,1,1.0,1,1,1.0,0,0,0.0,1,0,1,1,0,0,0,0,3,-18
1641724,"APR 29, 2025",ORL @ BOS,L,4,2,2,1.0,2,2,1.0,0,0,0.0,0,0,0,0,0,0,0,1,6,1
202709,"APR 29, 2025",ORL @ BOS,L,20,0,5,0.0,0,4,0.0,0,0,0.0,1,1,2,3,2,1,0,1,0,5
1631094,"APR 29, 2025",ORL @ BOS,L,30,6,15,0.4,2,4,0.5,5,7,0.714,2,7,9,6,0,0,3,5,19,-15
1630217,"APR 26, 2025",MEM vs. OKC,L,38,7,20,0.35,2,8,0.25,7,8,0.875,1,4,5,5,0,0,5,5,23,-1
1631216,"APR 29, 2025",ORL @ BOS,L,7,0,2,0.0,0,2,0.0,0,0,0.0,0,0,0,0,0,0,1,0,0,-10
1628371,"APR 29, 2025",ORL @ BOS,L,14,2,5,0.4,0,2,0.0,1,2,0.5,0,1,1,1,0,0,2,1,5,-8
1641710,"APR 29, 2025",ORL @ BOS,L,21,3,10,0.3,1,3,0.333,1,2,0.5,4,4,8,0,1,0,0,1,8,-16
1630574,"MAY 31, 2025",NYK @ IND,L,2,0,0,0.0,0,0,0.0,0,2,0.0,0,0,0,0,0,0,0,0,0,4
1629013,"MAY 31, 2025",NYK @ IND,L,16,4,7,0.571,4,7,0.571,0,0,0.0,0,0,0,2,0,0,0,2,12,-1
1626157,"MAY 31, 2025",NYK @ IND,L,38,8,19,0.421,0,4,0.0,6,10,0.6,3,11,14,2,1,0,2,4,22,-16
1628969,"MAY 31, 2025",NYK @ IND,L,32,6,9,0.667,1,2,0.5,2,2,1.0,0,1,1,4,1,2,5,4,15,-17
1629011,"MAY 31, 2025",NYK @ IND,L,30,4,5,0.8,0,0,0.0,0,0,0.0,5,4,9,0,2,2,2,1,8,-18
1642278,"MAY 31, 2025",NYK @ IND,L,2,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,3,0,0,0,0,0,4
1628973,"MAY 31, 2025",NYK @ IND,L,34,8,18,0.444,2,7,0.286,1,2,0.5,0,2,2,7,0,0,5,1,19,-18
1628384,"MAY 31, 2025",NYK @ IND,L,37,10,18,0.556,2,7,0.286,2,3,0.667,3,2,5,3,2,2,1,1,24,-15
1630173,"MAY 31, 2025",NYK @ IND,L,2,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,4
1642359,"MAY 31, 2025",NYK @ IND,L,2,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,4
1628404,"MAY 31, 2025",NYK @ IND,L,22,1,6,0.167,0,2,0.0,2,3,0.667,2,4,6,1,3,0,1,3,4,-6
1630540,"MAY 31, 2025",NYK @ IND,L,11,0,2,0.0,0,1,0.0,2,2,1.0,0,3,3,1,1,0,1,0,2,-7
1626166,"MAY 23, 2025",NYK vs. IND,L,9,0,3,0.0,0,2,0.0,0,0,0.0,0,0,0,1,0,0,1,0,0,-9
200782,"MAY 16, 2025",NYK vs. BOS,W,4,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,1,0,4
1626153,"MAY 31, 2025",NYK @ IND,L,12,0,2,0.0,0,2,0.0,2,2,1.0,0,1,1,0,0,0,0,0,2,-3
1630191,"APR 19, 2025",DET @ NYK,L,19,1,2,0.5,0,0,0.0,0,0,0.0,1,4,5,1,0,2,0,5,2,8
203471,"MAY 01, 2025",DET vs. NYK,L,30,3,9,0.333,1,4,0.25,2,2,1.0,1,3,4,9,1,0,1,2,9,7
202699,"MAY 01, 2025",DET vs. NYK,L,39,6,10,0.6,1,3,0.333,1,1,1.0,1,4,5,0,1,0,1,1,14,-23
1641709,"MAY 01, 2025",DET vs. NYK,L,23,5,7,0.714,0,0,0.0,7,10,0.7,3,3,6,1,3,2,0,3,17,-7
203501,"MAY 01, 2025",DET vs. NYK,L,33,3,11,0.273,1,6,0.167,0,0,0.0,0,5,5,1,1,0,4,1,7,-7
1630194,"MAY 01, 2025",DET vs. NYK,L,8,0,0,0.0,0,0,0.0,2,2,1.0,0,1,1,1,0,0,0,5,2,3
1627736,"MAY 01, 2025",DET vs. NYK,L,24,6,13,0.462,6,13,0.462,2,2,1.0,0,2,2,2,0,0,4,2,20,17
1630595,"MAY 01, 2025",DET vs. NYK,L,44,9,22,0.409,0,8,0.0,5,6,0.833,0,7,7,8,3,1,3,4,23,-2
1641842,"APR 29, 2025",DET @ NYK,W,4,0,2,0.0,0,1,0.0,2,2,1.0,0,1,1,0,0,0,1,2,2,-4
1631105,"MAY 01, 2025",DET vs. NYK,L,39,6,9,0.667,0,0,0.0,9,10,0.9,1,5,6,3,0,0,2,5,21,-3
1627783,"JUN 22, 2025",IND @ OKC,L,37,5,13,0.385,2,5,0.4,4,7,0.571,1,3,4,2,1,1,1,2,16,-4
1626167,"JUN 22, 2025",IND @ OKC,L,24,2,4,0.5,1,3,0.333,1,4,0.25,1,3,4,1,0,0,1,3,6,-12
1641767,"JUN 22, 2025",IND @ OKC,L,16,0,1,0.0,0,1,0.0,0,0,0.0,1,3,4,0,0,0,1,1,0,-4
1630174,"JUN 22, 2025",IND @ OKC,L,30,1,5,0.2,1,3,0.333,0,0,0.0,1,5,6,1,2,2,1,6,3,6
201949,"JUN 19, 2025",IND vs. OKC,W,2,0,1,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,-3
1628396,"JUN 22, 2025",IND @ OKC,L,5,0,0,0.0,0,0,0.0,2,2,1.0,0,1,1,0,0,0,1,2,2,-2
1642277,"JUN 22, 2025",IND @ OKC,L,1,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,4
204456,"JUN 22, 2025",IND @ OKC,L,28,8,13,0.615,0,0,0.0,0,0,0.0,0,6,6,3,1,1,7,2,16,-12
1641716,"MAY 31, 2025",IND vs. NYK,W,7,1,1,1.0,0,0,0.0,0,0,0.0,1,0,1,0,0,0,0,0,2,1
1628418,"JUN 22, 2025",IND @ OKC,L,1,0,1,0.0,0,1,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,2
1629614,"JUN 22, 2025",IND @ OKC,L,37,4,10,0.4,2,3,0.667,5,6,0.833,1,4,5,6,0,0,2,3,15,-9
1630167,"JUN 22, 2025",IND @ OKC,L,21,0,4,0.0,0,3,0.0,0,0,0.0,0,2,2,1,0,0,3,2,0,-13
1631097,"JUN 22, 2025",IND @ OKC,L,33,6,14,0.429,2,5,0.4,10,10,1.0,7,6,13,3,2,0,3,3,24,-14
1630169,"JUN 22, 2025",IND @ OKC,L,7,3,5,0.6,3,4,0.75,0,0,0.0,0,0,0,0,0,0,1,0,9,-2
1641748,"APR 27, 2025",MIL vs. IND,L,4,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,-4
203507,"APR 29, 2025",MIL @ IND,L,44,9,17,0.529,1,2,0.5,11,17,0.647,2,18,20,13,2,2,7,5,30,-2
1626192,"APR 27, 2025",MIL vs. IND,L,10,1,7,0.143,0,3,0.0,1,2,0.5,0,2,2,1,0,0,0,0,3,-4
1631260,"APR 29, 2025",MIL @ IND,L,46,6,11,0.545,6,10,0.6,1,2,0.5,1,3,4,1,0,1,0,4,19,6
1628398,"APR 29, 2025",MIL @ IND,L,13,2,5,0.4,1,2,0.5,0,0,0.0,1,4,5,0,0,0,1,2,5,-1
1631157,"APR 27, 2025",MIL vs. IND,L,8,2,4,0.5,1,2,0.5,0,0,0.0,0,0,0,1,0,0,0,2,5,-7
1627752,"APR 29, 2025",MIL @ IND,L,4,0,1,0.0,0,1,0.0,0,0,0.0,0,1,1,0,0,1,1,0,0,-2
201572,"APR 29, 2025",MIL @ IND,L,8,0,1,0.0,0,1,0.0,2,2,1.0,0,0,0,0,0,0,0,0,2,0
1626171,"APR 29, 2025",MIL @ IND,L,44,6,18,0.333,2,5,0.4,0,0,0.0,3,7,10,2,1,0,1,3,14,1
1641753,"APR 27, 2025",MIL vs. IND,L,4,0,1,0.0,0,1,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,-5
1629018,"APR 29, 2025",MIL @ IND,L,48,12,25,0.48,8,17,0.471,1,2,0.5,1,4,5,2,5,0,2,4,33,-8
1629645,"APR 29, 2025",MIL @ IND,L,47,4,10,0.4,1,2,0.5,2,3,0.667,1,2,3,7,1,0,3,4,11,4
1630579,"APR 29, 2025",MIL @ IND,L,11,2,2,1.0,0,0,0.0,0,0,0.0,4,1,5,0,0,0,2,1,4,-3
203081,"APR 27, 2025",MIL vs. IND,L,6,0,2,0.0,0,0,0.0,0,0,0.0,1,1,2,2,0,0,0,0,0,-3
1628392,"JUN 22, 2025",OKC vs. IND,W,18,3,4,0.75,0,0,0.0,1,3,0.333,3,6,9,4,1,0,2,0,7,1
1629026,"JUN 22, 2025",OKC vs. IND,W,5,0,1,0.0,0,1,0.0,0,0,0.0,1,0,1,0,0,0,0,0,0,-1
1642349,"JUN 22, 2025",OKC vs. IND,W,1,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,1,0,0,-4
1641717,"JUN 22, 2025",OKC vs. IND,W,26,4,6,0.667,2,3,0.667,0,0,0.0,2,0,2,0,3,0,1,3,10,7
1630598,"JUN 22, 2025",OKC vs. IND,W,12,0,1,0.0,0,1,0.0,0,0,0.0,0,1,1,0,0,0,0,1,0,11
1631172,"JUN 22, 2025",OKC vs. IND,W,1,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,-4
1630198,"JUN 19, 2025",OKC @ IND,L,15,3,4,0.75,2,3,0.667,3,3,1.0,0,1,1,1,0,0,1,1,11,12
1627936,"JUN 22, 2025",OKC vs. IND,W,32,4,10,0.4,2,5,0.4,0,0,0.0,2,1,3,0,3,1,0,3,10,8
1631114,"JUN 22, 2025",OKC vs. IND,W,38,7,20,0.35,2,7,0.286,4,6,0.667,0,4,4,4,2,0,1,4,20,13
1631096,"JUN 22, 2025",OKC vs. IND,W,31,6,8,0.75,1,2,0.5,5,8,0.625,2,6,8,0,1,5,0,3,18,10
1631119,"JUN 19, 2025",OKC @ IND,L,12,2,3,0.667,2,3,0.667,1,2,0.5,0,5,5,1,1,0,0,2,7,13
1629652,"JUN 22, 2025",OKC vs. IND,W,35,3,10,0.3,2,9,0.222,1,2,0.5,3,4,7,0,3,0,1,3,9,12
1641794,"JUN 22, 2025",OKC vs. IND,W,1,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,1,0,-4
1628983,"JUN 22, 2025",OKC vs. IND,W,40,8,27,0.296,2,12,0.167,11,12,0.917,0,5,5,12,1,2,1,5,29,11
1630175,"APR 29, 2025",ORL @ BOS,L,19,1,6,0.167,0,4,0.0,1,2,0.5,1,2,3,1,0,1,1,3,3,-21
1629723,"APR 26, 2025",MEM vs. OKC,L,16,1,1,1.0,0,0,0.0,2,2,1.0,1,5,6,2,1,1,1,2,4,-14
1628963,"APR 22, 2025",MEM @ OKC,L,11,0,1,0.0,0,0,0.0,0,0,0.0,0,1,1,0,0,0,2,2,0,-9
1630643,"APR 26, 2025",MEM vs. OKC,L,6,0,0,0.0,0,0,0.0,0,0,0.0,0,1,1,1,0,1,0,1,0,-5
1641744,"APR 26, 2025",MEM vs. OKC,L,33,3,4,0.75,0,0,0.0,2,2,1.0,2,6,8,1,0,7,1,6,8,-5
1628991,"APR 26, 2025",MEM vs. OKC,L,35,3,12,0.25,0,2,0.0,6,6,1.0,1,3,4,2,2,1,5,5,12,9
1629630,"APR 24, 2025",MEM vs. OKC,L,16,6,11,0.545,1,4,0.25,2,4,0.5,0,1,1,5,0,0,0,0,15,16
1628379,"APR 26, 2025",MEM vs. OKC,L,18,2,4,0.5,0,2,0.0,0,0,0.0,1,2,3,3,0,0,2,1,4,8
1630205,"APR 26, 2025",MEM vs. OKC,L,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,1,0,-1
1630583,"APR 26, 2025",MEM vs. OKC,L,40,9,13,0.692,5,7,0.714,0,0,0.0,0,9,9,3,0,0,2,3,23,0
1631246,"APR 26, 2025",MEM vs. OKC,L,18,3,5,0.6,3,5,0.6,2,2,1.0,0,4,4,3,1,0,0,2,11,8
203484,"APR 29, 2025",ORL @ BOS,L,30,3,9,0.333,2,7,0.286,0,0,0.0,0,3,3,1,1,0,1,0,8,-18
1630590,"APR 26, 2025",MEM vs. OKC,L,37,9,21,0.429,2,7,0.286,10,10,1.0,4,7,11,4,0,0,5,6,30,-9
201145,"MAY 02, 2025",HOU @ GSW,W,2,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,-8
1630578,"MAY 04, 2025",HOU vs. GSW,L,40,9,23,0.391,1,1,1.0,2,4,0.5,3,11,14,5,1,1,3,5,21,-12
1631466,"MAY 02, 2025",HOU @ GSW,W,1,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,1,0,0,-6
1631106,"MAY 04, 2025",HOU vs. GSW,L,16,2,6,0.333,1,2,0.5,0,2,0.0,1,4,5,1,0,2,2,0,5,-12
1642263,"MAY 02, 2025",HOU @ GSW,W,1,0,1,0.0,0,1,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,-6
203500,"MAY 04, 2025",HOU vs. GSW,L,26,1,4,0.25,0,0,0.0,1,2,0.5,2,5,7,0,0,0,1,0,3,-9
1631095,"MAY 04, 2025",HOU vs. GSW,L,12,1,5,0.2,1,3,0.333,0,0,0.0,2,2,4,0,0,0,0,0,3,-9
1628415,"MAY 04, 2025",HOU vs. GSW,L,36,3,9,0.333,0,3,0.0,2,2,1.0,1,1,2,1,1,0,2,3,8,-6
1641715,"MAY 02, 2025",HOU @ GSW,W,2,0,1,0.0,0,1,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,-8
1627832,"MAY 04, 2025",HOU vs. GSW,L,44,6,13,0.462,3,6,0.5,2,2,1.0,2,5,7,3,2,0,3,4,17,-5
1630224,"MAY 04, 2025",HOU vs. GSW,L,30,3,8,0.375,0,2,0.0,2,3,0.667,0,4,4,1,0,1,0,0,8,-6
1629111,"APR 30, 2025",HOU vs. GSW,W,5,1,2,0.5,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,2,-12
